********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[14:14:39, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[14:14:39, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0C1154BF.vdb'
[14:14:39, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[14:14:39, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/5FE57BAF.vdb'
[14:14:44, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[14:16:11, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/5FE57BAF.vdb'
[14:16:28, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[14:16:44, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[14:16:44, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
